Source,X,Y,Z,Nanoseconds=
6939,0.58,-0.44,-0.862,1528921730
6939,0.524,-0.536,-0.593,1528924013
6939,0.407,-0.268,-0.635,1528926218
6939,0.397,-0.141,-0.606,1528928451
6939,0.53,-0.061,-0.861,1528930692
6939,0.44,-0.271,-0.607,1528932968
6939,0.273,-0.227,-0.37,1528935230
6939,0.157,-0.234,-0.168,1528937448
6939,0.092,-0.238,-0.008,1528939698
6939,0.2,-0.407,-0.11,1528942064
6939,0.489,-0.652,-0.465,1528944425
6939,0.353,-0.543,-0.253,1528946708
6939,0.337,-0.377,-0.342,1528949641
6939,0.322,-0.285,-0.445,1528959766
6939,0.272,-0.432,-0.26,1528962239
6939,0.294,-0.335,-0.349,1528964477
6939,0.466,-0.585,-0.454,1528966702
6939,0.51,-0.579,-0.51,1528968888
6939,0.535,-0.822,-0.307,1528971124
6939,0.381,-0.606,-0.168,1528973353
6939,0.284,-0.505,-0.05,1528975638
6939,0.342,-0.804,0.135,2724428850
6939,0.372,-0.622,-0.264,2724436319
6939,0.354,-0.688,-0.081,2724438344
6939,0.396,-0.655,-0.229,2724459152
6939,0.435,-0.871,-0.068,2724460953
6939,0.325,-0.83,0.011,2724462805
6939,0.272,-0.615,-0.201,2724464659
6939,0.194,-0.539,-0.024,2724466402
6939,0.201,-0.629,0.091,2724468175
6939,0.17,-0.655,0.161,2724469960
6939,0.106,-0.493,0.175,2724471708
6939,0.163,-0.612,0.246,2724473523
6939,0.292,-0.414,-0.27,2724475249
6939,0.258,-0.552,-0.129,2724477037
6939,0.22,-0.375,-0.332,2724478753
6939,0.162,-0.325,-0.188,2724480479
6939,0.209,-0.486,-0.068,2724482186
6939,0.144,-0.4,0.052,2724483958
6939,0.147,-0.256,-0.164,2724485739
6939,0.184,-0.432,-0.086,2724487435
6939,0.183,-0.268,-0.282,2724489186
6939,0.247,-0.45,-0.171,2724490940
6939,0.158,-0.367,-0.083,2724492659
6939,0.098,-0.309,-0.003,2724494447
6939,0.241,-0.693,0.073,2724509460
6939,0.346,-0.761,-0.086,2724511206
6939,0.279,-0.587,-0.032,2724512900
6939,0.23,-0.5,0.036,2724514594
6939,0.237,-0.62,0.118,2724516302
6939,0.274,-0.452,-0.108,2724518055
6939,0.197,-0.545,-0.058,2724519772
6939,0.224,-0.663,0.053,2724521430
6939,0.315,-0.698,-0.131,2724523131
6939,0.238,-0.533,-0.047,2724524784
6939,0.269,-0.345,-0.276,2724528483
6939,0.303,-0.214,-0.395,2724530212
6939,0.238,-0.184,-0.224,2724545603
6939,0.154,-0.156,-0.125,2724547348
6939,0.17,-0.106,-0.257,2724549017
6939,0.125,-0.111,-0.137,2724550729
6939,0.104,0,-0.297,2724552441
6939,0.094,-0.075,-0.171,2724554361
6939,0.073,-0.126,-0.103,2724556175
6939,0.052,-0.066,-0.263,2724557921
6939,0.204,-0.487,-0.218,2724559632
6939,0.243,-0.618,-0.089,2724561328
6939,0.335,-0.673,-0.234,2724563069
6939,0.204,-0.527,-0.119,2724564793
6939,0.182,-0.329,-0.31,2724566552
6939,0.19,-0.485,-0.166,2724568225
6939,0.304,-0.515,-0.318,2724569910
6939,0.289,-0.334,-0.436,2724584668
6939,0.405,-0.389,-0.488,2724586373
6939,0.344,-0.481,-0.303,2724588015
6939,0.315,-0.584,-0.159,2724589666
6939,0.228,-0.465,-0.04,2724591345
6939,0.289,-0.531,-0.175,2724606036
6939,0.385,-0.83,-0.038,2724607700
6939,0.272,-0.799,0.004,2724609361
6939,0.241,-0.776,0.081,2724611066
6939,0.261,-0.834,0.197,2724612746
6939,0.278,-0.834,0.254,2724614378
6939,0.287,-0.609,-0.033,2724616006
6939,0.265,-0.682,0.081,2724617651
6939,0.281,-0.48,-0.146,2724619281
6939,0.281,-0.583,-0.016,2724620931
